"purchase_id";"customer_id";"product_id";"purchase_date_m";"purchase_time_m";"quantity";"total_amount"
1;1;42;"2018-04-15";"14:08:01";3;39.6
2;1;138;"2022-07-10";"23:33:47";4;64.4
3;1;403;"2021-12-31";"03:53:33";3;44.88
4;1;193;"2017-01-14";"01:25:11";2;38.76
5;1;26;"2018-04-06";"11:01:06";3;48.3
6;1;357;"2020-02-04";"10:28:26";5;79.05
7;1;192;"2023-09-21";"08:52:12";5;101.6
8;2;225;"2021-07-31";"11:17:50";5;85.9
9;2;218;"2023-11-03";"08:21:19";5;75.0
10;2;176;"2022-12-30";"01:32:06";2;31.3
11;2;14;"2023-07-27";"15:38:24";1;12.14
12;2;444;"2023-09-14";"07:17:41";2;40.64
13;2;150;"2021-12-09";"11:20:22";3;41.01
14;2;55;"2022-12-19";"10:28:44";1;17.93
15;2;134;"2021-10-22";"21:46:22";3;50.49
16;2;107;"2022-07-31";"10:35:19";3;45.87
17;2;415;"2023-03-20";"14:08:32";2;32.5
18;2;389;"2022-11-01";"10:16:21";4;85.8
19;2;123;"2022-11-24";"03:14:17";4;48.56
20;3;459;"2019-03-22";"02:00:03";3;36.45
21;3;25;"2022-09-05";"09:27:41";3;44.88
22;3;476;"2019-08-08";"06:18:26";1;17.81
23;3;232;"2023-01-09";"00:52:25";5;85.9
24;3;71;"2019-01-17";"08:21:41";3;46.2
25;3;230;"2021-01-01";"09:33:32";4;54.68
26;3;213;"2018-09-20";"10:59:29";4;71.76
27;3;127;"2019-12-27";"12:36:23";1;13.09
28;3;328;"2019-05-06";"19:44:14";3;36.42
29;3;6;"2020-02-28";"01:51:10";5;78.25
30;3;24;"2018-09-25";"22:52:00";5;74.8
31;3;349;"2018-09-23";"06:12:24";3;44.88
32;3;252;"2022-11-12";"00:46:24";2;29.92
33;3;146;"2020-06-03";"22:43:44";2;35.4
34;4;327;"2020-08-05";"01:30:43";1;17.02
35;4;305;"2022-07-18";"04:54:39";1;11.88
36;4;35;"2021-02-08";"21:17:14";2;27.66
37;4;378;"2023-09-29";"20:37:23";1;18.27
38;4;393;"2021-05-03";"11:22:08";2;31.62
39;4;335;"2018-08-22";"06:35:46";1;18.24
40;4;329;"2019-08-23";"04:34:55";1;11.88
41;4;370;"2018-07-09";"16:22:41";1;17.81
42;4;86;"2019-01-24";"17:11:21";2;31.3
43;4;351;"2020-12-04";"09:30:20";3;64.08
44;4;199;"2022-11-15";"02:17:33";4;47.52
45;4;322;"2019-01-18";"18:14:22";5;67.95
46;4;348;"2019-07-16";"16:18:27";4;54.36
